Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,41.799200% to 58.00%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.1,
Label,,
TIME,CH1,CH1 Peak Detect
-2.63952e-03,0.07,0.066
-2.63936e-03,0.066,0.074
-2.63920e-03,0.07,0.066
-2.63904e-03,0.07,0.074
-2.63888e-03,0.07,0.066
-2.63872e-03,0.066,0.074
-2.63856e-03,0.066,0.066
-2.63840e-03,0.066,0.074
-2.63824e-03,0.07,0.062
-2.63808e-03,0.066,0.07
-2.63792e-03,0.066,0.062
-2.63776e-03,0.066,0.074
-2.63760e-03,0.066,0.062
-2.63744e-03,0.066,0.07
-2.63728e-03,0.066,0.062
-2.63712e-03,0.066,0.07
-2.63696e-03,0.066,0.062
-2.63680e-03,0.066,0.07
-2.63664e-03,0.066,0.062
-2.63648e-03,0.066,0.07
-2.63632e-03,0.066,0.062
-2.63616e-03,0.066,0.074
-2.63600e-03,0.062,0.062
-2.63584e-03,0.066,0.07
-2.63568e-03,0.066,0.062
-2.63552e-03,0.066,0.07
-2.63536e-03,0.066,0.062
-2.63520e-03,0.066,0.07
-2.63504e-03,0.066,0.062
-2.63488e-03,0.066,0.07
-2.63472e-03,0.07,0.062
-2.63456e-03,0.07,0.07
-2.63440e-03,0.07,0.066
-2.63424e-03,0.07,0.074
-2.63408e-03,0.066,0.066
-2.63392e-03,0.066,0.074
-2.63376e-03,0.07,0.062
-2.63360e-03,0.066,0.074
-2.63344e-03,0.066,0.062
-2.63328e-03,0.066,0.07
-2.63312e-03,0.062,0.062
-2.63296e-03,0.066,0.07
-2.63280e-03,0.062,0.062
-2.63264e-03,0.066,0.07
-2.63248e-03,0.066,0.062
-2.63232e-03,0.066,0.07
-2.63216e-03,0.066,0.062
-2.63200e-03,0.066,0.07
-2.63184e-03,0.066,0.062
-2.63168e-03,0.066,0.07
-2.63152e-03,0.066,0.062
-2.63136e-03,0.066,0.07
-2.63120e-03,0.066,0.062
-2.63104e-03,0.07,0.074
-2.63088e-03,0.066,0.066
-2.63072e-03,0.066,0.074
-2.63056e-03,0.066,0.066
-2.63040e-03,0.066,0.074
-2.63024e-03,0.066,0.062
-2.63008e-03,0.066,0.07
-2.62992e-03,0.066,0.062
-2.62976e-03,0.066,0.07
-2.62960e-03,0.07,0.062
-2.62944e-03,0.07,0.074
-2.62928e-03,0.066,0.066
-2.62912e-03,0.066,0.074
-2.62896e-03,0.066,0.066
-2.62880e-03,0.066,0.074
-2.62864e-03,0.066,0.062
-2.62848e-03,0.066,0.074
-2.62832e-03,0.066,0.062
-2.62816e-03,0.062,0.07
-2.62800e-03,0.062,0.062
-2.62784e-03,0.062,0.07
-2.62768e-03,0.066,0.058
-2.62752e-03,0.062,0.07
-2.62736e-03,0.066,0.062
-2.62720e-03,0.066,0.07
-2.62704e-03,0.066,0.062
-2.62688e-03,0.066,0.07
-2.62672e-03,0.066,0.062
-2.62656e-03,0.066,0.07
-2.62640e-03,0.066,0.062
-2.62624e-03,0.066,0.074
-2.62608e-03,0.066,0.066
-2.62592e-03,0.066,0.074
-2.62576e-03,0.062,0.062
-2.62560e-03,0.066,0.074
-2.62544e-03,0.066,0.062
-2.62528e-03,0.066,0.07
-2.62512e-03,0.066,0.062
-2.62496e-03,0.07,0.07
-2.62480e-03,0.066,0.062
-2.62464e-03,0.066,0.07
-2.62448e-03,0.066,0.062
-2.62432e-03,0.066,0.074
-2.62416e-03,0.066,0.062
-2.62400e-03,0.066,0.07
-2.62384e-03,0.066,0.062
-2.62368e-03,0.066,0.074
-2.62352e-03,0.062,0.062
-2.62336e-03,0.066,0.074
-2.62320e-03,0.066,0.062
-2.62304e-03,0.066,0.074
-2.62288e-03,0.066,0.062
-2.62272e-03,0.066,0.074
-2.62256e-03,0.066,0.062
-2.62240e-03,0.066,0.07
-2.62224e-03,0.07,0.062
-2.62208e-03,0.066,0.074
-2.62192e-03,0.066,0.062
-2.62176e-03,0.066,0.074
-2.62160e-03,0.066,0.062
-2.62144e-03,0.066,0.074
-2.62128e-03,0.07,0.062
-2.62112e-03,0.066,0.07
-2.62096e-03,0.066,0.066
-2.62080e-03,0.066,0.074
-2.62064e-03,0.066,0.062
-2.62048e-03,0.066,0.07
-2.62032e-03,0.066,0.062
-2.62016e-03,0.066,0.07
-2.62000e-03,0.07,0.062
-2.61984e-03,0.07,0.07
-2.61968e-03,0.07,0.062
-2.61952e-03,0.07,0.074
-2.61936e-03,0.066,0.066
-2.61920e-03,0.066,0.074
-2.61904e-03,0.066,0.062
-2.61888e-03,0.066,0.074
-2.61872e-03,0.066,0.062
-2.61856e-03,0.066,0.074
-2.61840e-03,0.066,0.062
-2.61824e-03,0.062,0.07
-2.61808e-03,0.066,0.062
-2.61792e-03,0.062,0.07
-2.61776e-03,0.066,0.062
-2.61760e-03,0.066,0.07
-2.61744e-03,0.066,0.062
-2.61728e-03,0.066,0.07
-2.61712e-03,0.066,0.062
-2.61696e-03,0.066,0.07
-2.61680e-03,0.066,0.066
-2.61664e-03,0.07,0.074
-2.61648e-03,0.066,0.066
-2.61632e-03,0.066,0.074
-2.61616e-03,0.066,0.066
-2.61600e-03,0.066,0.074
-2.61584e-03,0.07,0.062
-2.61568e-03,0.066,0.074
-2.61552e-03,0.066,0.066
-2.61536e-03,0.066,0.074
-2.61520e-03,0.066,0.062
-2.61504e-03,0.066,0.074
-2.61488e-03,0.066,0.066
-2.61472e-03,0.066,0.074
-2.61456e-03,0.07,0.066
-2.61440e-03,0.066,0.074
-2.61424e-03,0.062,0.062
-2.61408e-03,0.062,0.07
-2.61392e-03,0.062,0.062
-2.61376e-03,0.066,0.07
-2.61360e-03,0.062,0.062
-2.61344e-03,0.062,0.07
-2.61328e-03,0.062,0.058
-2.61312e-03,0.062,0.07
-2.61296e-03,0.066,0.062
-2.61280e-03,0.066,0.07
-2.61264e-03,0.066,0.062
-2.61248e-03,0.066,0.07
-2.61232e-03,0.07,0.062
-2.61216e-03,0.066,0.074
-2.61200e-03,0.07,0.062
-2.61184e-03,0.066,0.07
-2.61168e-03,0.066,0.066
-2.61152e-03,0.066,0.074
-2.61136e-03,0.066,0.062
-2.61120e-03,0.062,0.074
-2.61104e-03,0.066,0.062
-2.61088e-03,0.066,0.074
-2.61072e-03,0.066,0.062
-2.61056e-03,0.066,0.07
-2.61040e-03,0.066,0.062
-2.61024e-03,0.066,0.07
-2.61008e-03,0.066,0.066
-2.60992e-03,0.07,0.074
-2.60976e-03,0.07,0.066
-2.60960e-03,0.066,0.074
-2.60944e-03,0.07,0.066
-2.60928e-03,0.066,0.074
-2.60912e-03,0.066,0.066
-2.60896e-03,0.066,0.074
-2.60880e-03,0.066,0.062
-2.60864e-03,0.062,0.07
-2.60848e-03,0.066,0.062
-2.60832e-03,0.066,0.07
-2.60816e-03,0.066,0.062
-2.60800e-03,0.062,0.07
-2.60784e-03,0.066,0.062
-2.60768e-03,0.066,0.07
-2.60752e-03,0.066,0.062
-2.60736e-03,0.066,0.07
-2.60720e-03,0.066,0.066
-2.60704e-03,0.066,0.07
-2.60688e-03,0.066,0.062
-2.60672e-03,0.062,0.07
-2.60656e-03,0.066,0.062
-2.60640e-03,0.066,0.07
-2.60624e-03,0.066,0.062
-2.60608e-03,0.066,0.07
-2.60592e-03,0.062,0.062
-2.60576e-03,0.066,0.07
-2.60560e-03,0.062,0.062
-2.60544e-03,0.062,0.07
-2.60528e-03,0.066,0.062
-2.60512e-03,0.066,0.07
-2.60496e-03,0.066,0.062
-2.60480e-03,0.066,0.07
-2.60464e-03,0.066,0.062
-2.60448e-03,0.066,0.074
-2.60432e-03,0.066,0.062
-2.60416e-03,0.07,0.07
-2.60400e-03,0.066,0.062
-2.60384e-03,0.066,0.074
-2.60368e-03,0.066,0.062
-2.60352e-03,0.066,0.07
-2.60336e-03,0.066,0.062
-2.60320e-03,0.066,0.07
-2.60304e-03,0.066,0.062
-2.60288e-03,0.066,0.07
-2.60272e-03,0.066,0.062
-2.60256e-03,0.066,0.07
-2.60240e-03,0.066,0.062
-2.60224e-03,0.066,0.07
-2.60208e-03,0.062,0.062
-2.60192e-03,0.066,0.07
-2.60176e-03,0.062,0.062
-2.60160e-03,0.066,0.07
-2.60144e-03,0.066,0.062
-2.60128e-03,0.066,0.07
-2.60112e-03,0.066,0.062
-2.60096e-03,0.066,0.07
-2.60080e-03,0.066,0.062
-2.60064e-03,0.066,0.07
-2.60048e-03,0.066,0.062
-2.60032e-03,0.066,0.07
-2.60016e-03,0.07,0.062
-2.60000e-03,0.07,0.07
-2.59984e-03,0.066,0.066
-2.59968e-03,0.066,0.07
-2.59952e-03,0.066,0.066
-2.59936e-03,0.066,0.074
-2.59920e-03,0.066,0.062
-2.59904e-03,0.066,0.074
-2.59888e-03,0.066,0.062
-2.59872e-03,0.066,0.07
-2.59856e-03,0.066,0.062
-2.59840e-03,0.066,0.07
-2.59824e-03,0.066,0.062
-2.59808e-03,0.07,0.07
-2.59792e-03,0.066,0.062
-2.59776e-03,0.07,0.07
-2.59760e-03,0.066,0.062
-2.59744e-03,0.066,0.07
-2.59728e-03,0.066,0.062
-2.59712e-03,0.066,0.07
