Model,DPO2024B
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.002
Sample Interval,1.6e-07
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH1
-1.09848e-02,0.476906
-1.09846e-02,0.476641
-1.09845e-02,0.476922
-1.09843e-02,0.4765
-1.09842e-02,0.476344
-1.09840e-02,0.476828
-1.09838e-02,0.476781
-1.09837e-02,0.477156
-1.09835e-02,0.477234
-1.09834e-02,0.477594
-1.09832e-02,0.477813
-1.09830e-02,0.477828
-1.09829e-02,0.477313
-1.09827e-02,0.477531
-1.09826e-02,0.476969
-1.09824e-02,0.476484
-1.09822e-02,0.476688
-1.09821e-02,0.476516
-1.09819e-02,0.476375
-1.09818e-02,0.476578
-1.09816e-02,0.476516
-1.09814e-02,0.477047
-1.09813e-02,0.477188
-1.09811e-02,0.477516
-1.09810e-02,0.477578
-1.09808e-02,0.477531
-1.09806e-02,0.477703
-1.09805e-02,0.477453
-1.09803e-02,0.477594
-1.09802e-02,0.477609
-1.09800e-02,0.477594
-1.09798e-02,0.477641
-1.09797e-02,0.477844
-1.09795e-02,0.477641
-1.09794e-02,0.477953
-1.09792e-02,0.477734
-1.09790e-02,0.477797
-1.09789e-02,0.477891
-1.09787e-02,0.477125
-1.09786e-02,0.477188
-1.09784e-02,0.47675
-1.09782e-02,0.476375
-1.09781e-02,0.476641
-1.09779e-02,0.476547
-1.09778e-02,0.476969
-1.09776e-02,0.477281
-1.09774e-02,0.477453
-1.09773e-02,0.47775
-1.09771e-02,0.477563
-1.09770e-02,0.477391
-1.09768e-02,0.477203
-1.09766e-02,0.477203
-1.09765e-02,0.477125
-1.09763e-02,0.477094
-1.09762e-02,0.477109
-1.09760e-02,0.477375
-1.09758e-02,0.477609
-1.09757e-02,0.477719
-1.09755e-02,0.477688
-1.09754e-02,0.477297
-1.09752e-02,0.477219
-1.09750e-02,0.477203
-1.09749e-02,0.477203
-1.09747e-02,0.477188
